Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
ANTH 549,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=549&p_subj=ANTH,THE ANTHROPOLOGY OF ETHICS,,,3
ANTH 550,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=550&p_subj=ANTH,HISTORICAL ANTHROPOLOGIES,,,3
ANTH 551,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=551&p_subj=ANTH,CULTURES OF NATIONALISM,,,3
ANTH 553,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=553&p_subj=ANTH,CULTURES OF INDIA,,,3
ANTH 555,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=555&p_subj=ANTH,LANDSCAPE ARCHAEOLOGY,,,3
ANTH 558,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=558&p_subj=ANTH,FOURTH WORLD:INDIGENOUS PEOPLE,,,3
ANTH 561,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=561&p_subj=ANTH,LATIN AMERICAN TOPICS,,,3
ANTH 562,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=562&p_subj=ANTH,ARCHAEOLOGICAL FLD TECHNIQUES,,,3
ANTH 563,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=563&p_subj=ANTH,EARLY CIVILIZATIONS,,,3
ANTH 564,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=564&p_subj=ANTH,AFRICAN ARCHAEOLOGY,,,3
ANTH 566,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=566&p_subj=ANTH,"SCIENCE, LOCAL AND GLOBAL",,,3
ANTH 570,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=570&p_subj=ANTH,ARCHAEOLOGICAL LABORATORY,,,3 TO 6
ANTH 571,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=571&p_subj=ANTH,MONEY AND EVERYDAY LIFE,,,3
ANTH 572,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=572&p_subj=ANTH,CULTURES OF CAPITALISM,,,3
ANTH 581,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=581&p_subj=ANTH,MEDICAL ANTHROPOLOGY,,,3
ANTH 585,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=585&p_subj=ANTH,"MEDIA, CULTURE, AND SOCIETY",,,3
ANTH 586,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=586&p_subj=ANTH,"MEDICINE, FOOD, AND HEALTH",,,3
ANTH 588,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=588&p_subj=ANTH,LIFE CYCLE: A BIOCULTURAL VIEW,,,3
ANTH 590,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=590&p_subj=ANTH,"CULTURE,NARRATION,SUBJECTIVITY",,,3
ANTH 595,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=595&p_subj=ANTH,CULTURES AND COMMUNICATION,,,3
ANTH 598,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=598&p_subj=ANTH,ETHNOGRAPHIC RESEARCH,,,3
ANTH 600,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=600&p_subj=ANTH,INDEPENDENT STUDY,,,1 TO 9
ANTH 601,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=601&p_subj=ANTH,GR PROSEMINAR IN ANTHROPOLOGY,,,3
ANTH 602,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=602&p_subj=ANTH,PROPOSAL WRITING SEMINAR,,,3
ANTH 603,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=603&p_subj=ANTH,ANALYZING PRACTICE,,,3
ANTH 604,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=604&p_subj=ANTH,ARCHAEOLOGICAL RESEARCH DESIGN,,,3
ANTH 605,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=605&p_subj=ANTH,FIELDWORK,,,4
ANTH 606,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=606&p_subj=ANTH,COGNITIVE STUDIES,,,3
ANTH 610,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=610&p_subj=ANTH,THE ETHNOGRAPHY OF DEVELOPMENT,,,3
