Course,URL,Title,Distribution Group,Analyzing Diversity,Credits,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022
ANTH 355,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=355&p_subj=ANTH,"SPACE, PLACE, LANDSCAPE",,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ANTH 358,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=358&p_subj=ANTH,FOURTH WORLD:INDIGENOUS PEOPLE,Distribution Group II,Analyzing Diversity Course,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 359,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=359&p_subj=ANTH,ASIAN TOPICS,,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 360,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=360&p_subj=ANTH,AFRICAN TOPICS,,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 361,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=361&p_subj=ANTH,LATIN AMERICAN TOPICS,Distribution Group II,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 362,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=362&p_subj=ANTH,ARCHAEOLOGICAL FLD TECHNIQUES,Distribution Group II,,3,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
ANTH 363,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=363&p_subj=ANTH,ARCHAEOLOGY CITIES AND STATE,Distribution Group II,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
ANTH 364,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=364&p_subj=ANTH,AFRICAN ARCHAEOLOGY,,,1 TO 6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
ANTH 365,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=365&p_subj=ANTH,POLITICS OF REPRESENTATION,,,3,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 366,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=366&p_subj=ANTH,"SCIENCE, LOCAL AND GLOBAL",Distribution Group II,,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
ANTH 370,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=370&p_subj=ANTH,ARCHAEOLOGICAL LAB ANALYSIS,,,3 TO 6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
ANTH 371,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=371&p_subj=ANTH,MONEY AND EVERYDAY LIFE,Distribution Group II,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 372,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=372&p_subj=ANTH,CULTURES OF CAPITALISM,Distribution Group II,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 374,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=374&p_subj=ANTH,ASIAN PREHISTORY,,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 376,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=376&p_subj=ANTH,ART AND ACTIVISM,,,3,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTH 380,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=380&p_subj=ANTH,GLOBAL HEALTH JUSTICE,Distribution Group II,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
ANTH 381,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=381&p_subj=ANTH,MEDICAL ANTHROPOLOGY,Distribution Group II,,3,True,True,False,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,True,True,True,False,False,True,False,False
ANTH 382,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2023&p_crse_numb=382&p_subj=ANTH,"BODY, TECHNOLOGY, ENHANCEMENT",,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
