Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
ECON 449,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=449&p_subj=ECON,BASICS/FINANCIAL ENGINEERING,,,3
ECON 450,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=450&p_subj=ECON,WORLD ECON&SOCIAL DEVELOPMENT,Distribution Group II,,3
ECON 451,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=451&p_subj=ECON,ECONOMY OF LATIN AMERICA,Distribution Group II,,3
ECON 452,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=452&p_subj=ECON,"RELIGION, ETHICS, & ECONOMICS",,,3
ECON 455,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=455&p_subj=ECON,MONEY AND FINANCIAL MARKETS,Distribution Group II,,3
ECON 461,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=461&p_subj=ECON,URBAN ECONOMICS,Distribution Group II,,3
ECON 472,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=472&p_subj=ECON,INTRODUCTION TO GAME THEORY,Distribution Group II,,3
ECON 475,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=475&p_subj=ECON,INTEGER & COMB OPTIMIZATION,Distribution Group II,,3
ECON 477,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=477&p_subj=ECON,MATHEMATICAL ECONOMICS,,,3
ECON 480,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=480&p_subj=ECON,ENVIRONMENTAL ECONOMICS,Distribution Group II,,3
ECON 481,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=481&p_subj=ECON,HEALTH ECONOMICS,,,3
ECON 482,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=482&p_subj=ECON,DISTRIBUTIVE JUSTICE,,,3
ECON 483,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=483&p_subj=ECON,PUBLIC FINANCE: TAX POLICY,Distribution Group II,,3
ECON 484,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=484&p_subj=ECON,PUBLIC FINANCE EXPENDITURE,Distribution Group II,,3
ECON 485,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=485&p_subj=ECON,CONTEMPORARY ECONOMIC ISSUES,,,3
ECON 486,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=486&p_subj=ECON,CONTEMPORARY ECONOMIC ISSUES,,,3
ECON 495,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=495&p_subj=ECON,SENIOR SEMINAR,,,3
ECON 496,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=496&p_subj=ECON,SENIOR SEMINAR,,,3
ECON 501,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=501&p_subj=ECON,MICROECONOMIC THEORY I,,,5
ECON 502,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=502&p_subj=ECON,MACROECON/MONETARY THEORY I,,,5
ECON 504,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=504&p_subj=ECON,ADVANCED ECONOMIC STATISTICS,,,5
ECON 505,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=505&p_subj=ECON,MACROECON/MONETARY THEORY II,,,5
ECON 506,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=506&p_subj=ECON,TOPICS:MACROECON/MONETARY THRY,,,5
ECON 507,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=507&p_subj=ECON,MATHEMATICAL ECONOMICS I,,,5
ECON 508,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=508&p_subj=ECON,MICROECONOMIC THEORY II,,,5
ECON 509,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=509&p_subj=ECON,MICROECONOMICS III,,,5
